산업별,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
계,"25,299","25,897","26,178","26,409","26,725","26,822","27,123","26,904","27,273","28,089"
"A 농업, 임업 및 어업(01~03)","1,513","1,446","1,337","1,273","1,279","1,340","1,395","1,445","1,458","1,526"
"* 광공업(B,C)","4,322","4,471","4,618","4,603","4,589","4,529","4,444","4,389","4,380","4,512"
B 광업(05~08),16,13,14,19,23,19,15,13,12,9
C 제조업(10~34),"4,307","4,459","4,604","4,584","4,566","4,510","4,429","4,376","4,368","4,503"
* 사회간접자본 및 기타서비스업(D~U),"19,464","19,980","20,222","20,534","20,857","20,953","21,284","21,071","21,435","22,051"
"D 전기, 가스, 증기 및 공기조절 공급업(35)",74,69,79,76,72,70,68,74,71,80
"E 수도, 하수 및 폐기물 처리, 원료 재생업(36 ~ 39)",93,105,106,113,115,127,135,153,169,154
F 건설업(41~42),"1,780","1,829","1,854","1,869","1,988","2,034","2,020","2,016","2,090","2,123"
"* 도소매·숙박음식점업(G,I)","5,678","5,952","6,011","6,045","6,083","5,965","5,966","5,647","5,451","5,495"
"* 사업·개인·공공서비스 및 기타(E,L~U)","8,929","9,131","9,278","9,532","9,734","9,800","10,139","10,227","10,536","10,944"
"* 전기·운수·통신·금융(D,H,J,K)","3,077","3,068","3,079","3,088","3,053","3,154","3,160","3,181","3,358","3,490"
G 도매 및 소매업(45~47),"3,694","3,834","3,816","3,754","3,795","3,723","3,663","3,503","3,353","3,313"
H 운수 및 창고업(49~52),"1,428","1,429","1,429","1,426","1,405","1,407","1,431","1,482","1,586","1,655"
I 숙박 및 음식점업(55~56),"1,985","2,118","2,195","2,291","2,288","2,243","2,303","2,144","2,098","2,182"
J 정보통신업(58~63),697,718,774,784,783,837,861,847,901,981
K 금융 및 보험업(64~66),878,852,799,803,794,840,800,778,800,774
L 부동산업(68),437,454,462,483,540,528,556,517,531,552
"M 전문, 과학 및 기술 서비스업(70~73)","1,029","1,034","1,055","1,101","1,092","1,096","1,157","1,164","1,219","1,288"
"N 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","1,228","1,243","1,331","1,391","1,374","1,311","1,312","1,347","1,397","1,423"
"O 공공행정, 국방 및 사회보장 행정(84)",976,970,948,"1,004","1,058","1,110","1,076","1,112","1,143","1,213"
P 교육 서비스업(85),"1,766","1,830","1,835","1,862","1,907","1,847","1,883","1,798","1,840","1,902"
Q 보건업 및 사회복지 서비스업(86~87),"1,566","1,709","1,781","1,861","1,921","2,046","2,206","2,336","2,534","2,714"
"R 예술, 스포츠 및 여가관련 서비스업(90~91)",394,398,428,407,428,445,495,496,467,482
"S 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","1,261","1,257","1,232","1,224","1,222","1,236","1,233","1,189","1,135","1,119"
T 가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98),173,116,82,70,64,48,75,98,87,80
U 국제 및 외국기관(99),8,14,19,16,12,7,12,17,15,16
